Value,Disaggregation combinations using this value,Number of indicators
AGG_3_4,4,2
ISCED11_0,1,1
ISCED11_1,12,12
ISCED11_2,17,16
ISCED11_3,18,17
ISCED11_4,17,16
ISCED11_5,13,8
ISCED11_6,1,1
ISCED11_6_7,16,12
ISCED11_7,1,1
